"","KC1","KC2","KC3","KA1","KA2","KA3"
"1110025L11Rik",0,0,0,16162803.75,0,0
"1110065P20Rik",17918323.11,18753049.36,15958824.73,0,0,0
"1700037H04Rik",3021159.017,2247576.235,3080843.665,4746584.885,4454360.439,3901078.069
"1810009N02Rik",0,0,0,2075270.231,0,2498912.479
"2200002D01Rik",0,0,0,3989057.181,10177638.93,5316775.807
"2210016F16Rik",25343509.14,22572911.12,23611548.44,40811200.85,52158321.97,40374480.48
"2310061I04Rik",0,0,1936850.054,0,1152629.681,0
"2810459M11Rik",0,0,0,0,0,0
"A1cf",10275666.19,10625214.23,12598307.29,0,2755280.974,1175174.703
"AA467197",0,0,0,3936364.166,3536599.586,2956188.122
"Aaas",0,0,0,836881.4187,892307.9231,905417.4037
"Aacs",194087804.5,192417987.8,193863501.4,21352467.89,29886714.62,34899881.44
"Aadac",317227110.3,305395382.7,283189374.6,125745456.2,157939787.8,133344064.3
"Aadat",716165660,907808111.2,919489256.7,69017591.32,65515730.16,75483241.52
"Aak1",6860108.552,2685115.369,3441684.615,9208426.363,5968591.545,11611208.51
"Aamdc",7854119.384,6012855.197,8201743.141,11672668.23,10014183.94,10726828.19
"Aars",142656712.6,131620315.1,148202251.2,185247630,191345645.2,196507085.4
"Aarsd1",47225453.12,37839917.33,42550725.35,50876509.57,46281996.89,65712973.56
"Aass",1498422439,1353505612,1461165815,674020616.7,596112147,591916144.2
"Abat",800635903.4,793519729.3,879450730.8,476977905.9,426258186.1,421331766.5
"Abca6",27509797.35,9008813.615,11655281.02,12496155.91,11570400.13,30707571.7
"Abcb10",0,2085024.841,0,4026909.477,4096479.697,4686393.355
"Abcb11",204545297.1,206246604,199557891.7,72924808.79,72058142.05,73454974.97
"Abcb1b",1672680.266,0,0,7561517.968,7667098.308,6750875.822
"Abcb4",4519255.891,1971130.166,0,6107020.42,2166483.804,2186957.208
"Abcb7",51544040.1,52980376.93,49684330.9,47666650.17,54324005.39,55677194.82
"Abcb8",45107355.59,42649245.97,32531435.66,35748736.81,34445009.38,19071992.66
"Abcc1",0,424600.9392,0,3504592.242,3130612.038,3000581.901
"Abcc2",60419996.91,67518581.04,72166032.49,65781360.41,51377857.39,54264470.89
"Abcc3",91321086.5,45841240.94,84977157.58,67606623.54,80559236.32,63177703.12
"Abcc4",5225393.475,5932818.982,4712593.631,23316460.19,24606996.51,27667992.03
"Abcc6",1700710.144,0,4059386.007,13309788.45,13847304.26,12574092.13
"Abcd1",0,0,0,0,0,2116315.318
"Abcd2",0,4724808.387,2992632.259,0,3008735.671,0
"Abcd3",520872849.6,669609049.7,583781977.3,185684350.1,256090217,258011499.2
"Abce1",37075256.41,25862319.02,25406550.1,67758156.3,70440756.79,65123622.18
"Abcf1",14383594.81,23870946.95,15693265.61,27345350.72,30188939.92,29154214.25
"Abcf2",24927190.92,30538532.58,22624938.91,24533137.82,23886758.64,19903898.67
"Abcf3",7162068.978,9902026.399,9225572.564,16343613.84,12955126.85,11784298.54
"Abcg2",285162631.8,257983989.1,284599871.5,144680485,155179864.8,174863075.9
"Abhd10",6609845.71,3514575.006,8065758.907,13611487.06,10040292.09,5761171.338
"Abhd11",57040519.9,54559842.3,69332747.94,59023096.19,47411300.58,69782531.43
"Abhd12",1963324.964,742947.1554,2355619.974,5771738.116,5663628.774,7045852.453
"Abhd14b",725599891.3,761728857.8,792009783.8,318253784.7,300632007.4,323148540.6
"Abhd16a",24932080.08,29981615.95,32963856.87,27517410.78,34972460.3,25512217.03
"Abhd3",2213692.347,2255936.068,1935451.292,0,0,0
"Abhd6",0,0,0,4490555.334,2648551.442,2767927.372
"Abi1",20501206.2,16502292.46,22243362.12,39271435.2,31887861.02,29555275.75
"Ablim1",15217429.84,10070289.76,11741552.32,37023760.92,31625391.32,34463555.86
"Abr",2543218.974,2177695.834,2079009.05,3615307.765,3295650.773,3807948.926
"Abraxas2",27705375.43,30317615.2,33184383.3,16960041.77,18545292.29,17800599.12
"Acaa1a",145278142.6,138413351.5,147275906.2,127922196.3,130850545.9,121624720.1
"Acaa1b",134043043.6,148858703.3,110766515.4,25082869.91,32918201.98,33768343.8
"Acaa2",1819163833,1808080771,1739767179,1699325577,1781064176,1888732146
"Acaca",67587641.48,42863925.4,42295186.73,48415115.65,97492600.52,51890225.35
"Acacb",0,0,0,1344095.419,0,0
"Acad10",153245921,156753290.8,169512817,59202454.5,57221951.59,72039738.64
"Acad11",462184314.8,482956397,419644611.4,95462334.71,97044396.17,126895959.6
"Acad12",36603225.27,39828212.3,38120191.18,14308222.45,17152359.54,13339084.94
"Acad8",363895895.1,363690160.7,344389345.3,273573530.3,273239087.5,262126371
"Acad9",390623762.9,374005168.8,392878300.9,132987921.8,161077941.9,128116397.7
"Acadl",1557284046,1746361108,1667015713,888215787.9,964749872.2,930238208
"Acadm",3332683286,3858706488,3912603814,959767168.5,1016599934,1037619319
"Acads",1351512452,1264445298,1252095786,484486386.6,515354837.6,488507950.2
"Acadsb",188257786.6,194507503.5,184327017.4,207194517.4,236561881.2,216847428.5
"Acadvl",947283195.5,943747786,1004623340,859721244.9,937703794.4,875360958.9
